ID,Address,Rooms,Type,Price,Date,Bathroom,Car,Landsize,Age,Lattitude,Longtitude
ID211872587,3/28 Kendall St,2,t,781000.0,8/04/2017,1.0,1.0,0.0,5.0,-37.7422,144.9604
ID134067190,16 Charles St,5,h,2850000.0,10/09/2016,2.0,2.0,815.0,19.0,-37.8118,145.035
ID354971825,18 Norton St,3,h,586000.0,27/06/2016,1.0,1.0,701.0,59.0,-37.7843,144.8052
ID481261413,78a Allison Rd,2,h,900000.0,15/10/2016,1.0,1.0,198.0,139.0,-37.8824,145.0133
ID370410426,41 Barnett St,3,h,1165000.0,10/09/2016,1.0,0.0,239.0,109.0,-37.7923,144.9324
ID765197430,14 Parkhill Ct,2,h,560000.0,23/09/2017,2.0,2.0,424.0,69.0,-37.67909,144.87524
ID688874751,1/1017 Nepean Hwy,3,t,750000.0,7/05/2016,2.0,1.0,164.0,9.0,-37.9378,145.0385
ID502790600,5/107 Victoria Rd,2,u,655250.0,23/04/2016,1.0,1.0,1153.0,49.0,-37.8227,145.0528
ID489548556,19 Bruce St,3,h,1270000.0,12/08/2017,2.0,2.0,585.0,19.0,-37.742509999999996,145.0008
ID872609370,20 Robern Pde,4,h,1005000.0,7/11/2016,2.0,1.0,696.0,69.0,-37.7395,145.0875
ID591134425,40 Carlton St,3,h,1662000.0,7/05/2016,1.0,0.0,118.0,25.0,-37.8009,144.9729
ID186907575,2115/18 Mt Alexander Rd,2,u,341500.0,15/07/2017,1.0,1.0,16000.0,7.0,-37.784659999999995,144.93829
ID191925721,8 Merrion Pl,3,h,1878000.0,10/09/2016,2.0,1.0,392.0,4.0,-37.8081,145.0263
ID948088992,1 Graeme Cl,4,h,2000000.0,10/12/2016,3.0,2.0,507.0,33.0,-37.7738,145.1308
ID182535901,40 Gadd St,4,h,1955000.0,12/08/2017,2.0,1.0,5.0,36.0,-37.7628,144.99375
ID447848957,51 Moore St,2,h,1160000.0,1/07/2017,1.0,0.0,140.0,19.0,-37.84369,144.98914
ID927624816,3A Cudgewa Pl,3,t,770000.0,3/12/2016,2.0,1.0,331.0,9.0,-37.7325,144.8621
ID914679730,85 Victoria Cr,4,h,2500000.0,16/09/2017,3.0,3.0,402.0,69.0,-37.8137,145.11013
ID185867104,18 Stewart St,3,h,1455000.0,23/09/2017,2.0,2.0,351.0,109.0,-37.81111,144.88759
ID895915897,46 Wilson St,3,h,908000.0,27/06/2016,2.0,0.0,105.0,119.0,-37.8191,144.8909
ID452776667,1A Braeside St,2,t,510000.0,22/07/2017,1.0,1.0,129.0,7.0,-37.71865,144.95018000000005
ID835253540,28/18 Mawbey St,3,u,551000.0,10/12/2016,1.0,1.0,4440.0,7.0,-37.7898,144.9233
ID143041828,3/66 Darebin Bvd,2,u,401000.0,10/12/2016,1.0,1.0,184.0,54.0,-37.7043,145.0277
ID868594826,34 Reynard St,4,h,1005000.0,20/05/2017,2.0,1.0,172.0,119.0,-37.7483,144.9634
ID699422093,3/212 Roden St,2,t,1013000.0,20/05/2017,2.0,1.0,0.0,9.0,-37.8094,144.9452
ID222959449,218 Ferrars St,1,h,1002000.0,3/12/2016,1.0,0.0,84.0,107.0,-37.8332,144.9548
ID795962622,19 Lotus Ct,4,h,658000.0,29/07/2017,2.0,2.0,571.0,22.0,-37.63762,145.03538999999995
ID129326764,56 Verdon St,3,h,2910000.0,4/03/2017,3.0,2.0,515.0,29.0,-37.8609,144.8947
ID816516953,22 Renwick St,4,h,2325000.0,4/06/2016,3.0,2.0,638.0,89.0,-37.8523,145.0726
ID971834076,2083 Malvern Rd,3,h,1105000.0,6/08/2016,2.0,2.0,331.0,99.0,-37.876999999999995,145.067
ID684780975,26 Sussex St,3,h,1360000.0,3/06/2017,2.0,6.0,663.0,49.0,-37.8642,144.84257
ID610554841,27 Wellington St,3,h,915000.0,22/07/2017,1.0,2.0,447.0,109.0,-37.792,144.86856
ID606840860,5 Barmah Gra,4,h,715000.0,24/06/2017,2.0,2.0,680.0,8.0,-37.612359999999995,144.90753
ID134230688,318/6 Lisson Gr,1,u,485000.0,28/08/2016,1.0,1.0,0.0,19.0,-37.8264,145.02700000000004
